distance_raw_m,distance_medema_m,distance_gated_m,t_rel_s,dt_s,fps,host_ts
160.6,162.171,159.896,866.891,0.389,2.57,2025-12-09 11:20:12
161.0,161.778,160.072,867.287,0.396,2.52,2025-12-09 11:20:12
160.6,161.484,160.204,867.686,0.399,2.51,2025-12-09 11:20:12
159.6,161.263,160.303,868.082,0.396,2.53,2025-12-09 11:20:13
159.5,161.097,160.377,868.477,0.395,2.53,2025-12-09 11:20:13
159.8,160.773,160.233,869.337,0.86,1.16,2025-12-09 11:20:14
159.8,160.53,160.125,869.732,0.395,2.53,2025-12-09 11:20:15
158.9,160.297,159.994,870.128,0.396,2.53,2025-12-09 11:20:15
159.4,160.098,159.87,870.52,0.392,2.55,2025-12-09 11:20:15
162.6,160.023,159.853,870.924,0.404,2.48,2025-12-09 11:20:16
161.5,159.968,159.839,871.323,0.399,2.51,2025-12-09 11:20:16
159.7,159.901,159.805,871.712,0.389,2.57,2025-12-09 11:20:16
160.5,160.051,159.978,872.106,0.394,2.54,2025-12-09 11:20:17
160.8,160.238,160.184,872.499,0.393,2.54,2025-12-09 11:20:17
160.7,160.353,160.313,872.895,0.396,2.53,2025-12-09 11:20:18
159.1,160.39,160.36,873.288,0.393,2.54,2025-12-09 11:20:18
160.6,160.443,160.42,873.684,0.396,2.53,2025-12-09 11:20:19
160.4,160.482,160.465,874.072,0.388,2.58,2025-12-09 11:20:19
159.8,160.461,160.449,874.464,0.392,2.55,2025-12-09 11:20:19
159.1,160.296,160.286,874.854,0.39,2.56,2025-12-09 11:20:20
159.2,160.172,160.165,875.249,0.395,2.53,2025-12-09 11:20:20
156.4,159.929,159.924,875.649,0.4,2.5,2025-12-09 11:20:20
159.2,159.747,159.743,876.051,0.402,2.49,2025-12-09 11:20:21
154.5,159.585,159.582,876.907,0.856,1.17,2025-12-09 11:20:22
154.2,158.789,158.787,877.299,0.392,2.55,2025-12-09 11:20:22
153.6,157.717,157.715,877.688,0.389,2.57,2025-12-09 11:20:23
153.9,156.837,156.836,878.081,0.393,2.54,2025-12-09 11:20:23
154.7,156.178,156.177,878.474,0.393,2.54,2025-12-09 11:20:23
154.6,155.684,155.683,878.867,0.393,2.54,2025-12-09 11:20:24
154.1,155.288,155.287,879.26,0.393,2.54,2025-12-09 11:20:24
155.1,155.116,155.115,880.599,1.339,0.75,2025-12-09 11:20:25
155.6,155.012,155.012,882.277,1.678,0.6,2025-12-09 11:20:27
158.3,155.034,155.034,882.674,0.397,2.52,2025-12-09 11:20:27
159.1,155.175,155.175,883.064,0.39,2.56,2025-12-09 11:20:28
160.4,155.957,155.956,883.922,0.858,1.17,2025-12-09 11:20:29
159.5,156.742,156.742,884.31,0.388,2.58,2025-12-09 11:20:29
160.8,157.432,157.432,884.702,0.392,2.55,2025-12-09 11:20:29
160.0,158.074,158.074,885.094,0.392,2.55,2025-12-09 11:20:30
159.1,158.555,158.555,885.492,0.398,2.51,2025-12-09 11:20:30
156.6,158.792,158.792,885.887,0.395,2.53,2025-12-09 11:20:31
159.7,159.019,159.019,886.284,0.397,2.52,2025-12-09 11:20:31
159.5,159.139,159.139,886.679,0.395,2.53,2025-12-09 11:20:32
160.5,159.229,159.229,888.017,1.338,0.75,2025-12-09 11:20:33
159.3,159.297,159.297,888.399,0.382,2.62,2025-12-09 11:20:33
160.3,159.398,159.398,889.738,1.339,0.75,2025-12-09 11:20:35
159.9,159.523,159.523,890.592,0.854,1.17,2025-12-09 11:20:35
159.9,159.617,159.617,890.992,0.4,2.5,2025-12-09 11:20:36
160.7,159.688,159.688,891.386,0.394,2.54,2025-12-09 11:20:36
161.7,159.841,159.841,892.725,1.339,0.75,2025-12-09 11:20:38
159.3,159.856,159.856,893.222,0.497,2.01,2025-12-09 11:20:38
141.4,159.867,159.856,893.611,0.389,2.57,2025-12-09 11:20:38
160.5,160.025,160.017,894.006,0.395,2.53,2025-12-09 11:20:39
161.5,160.144,160.188,895.344,1.338,0.75,2025-12-09 11:20:40
160.1,160.133,160.266,895.904,0.56,1.79,2025-12-09 11:20:41
141.5,160.125,160.266,897.501,1.597,0.63,2025-12-09 11:20:42
141.9,160.118,160.266,897.89,0.389,2.57,2025-12-09 11:20:43
142.9,155.814,160.266,899.229,1.339,0.75,2025-12-09 11:20:44
160.8,152.585,160.324,900.907,1.678,0.6,2025-12-09 11:20:46
141.0,149.914,160.324,901.301,0.394,2.54,2025-12-09 11:20:46
158.6,148.161,160.368,901.697,0.396,2.53,2025-12-09 11:20:46
140.9,146.845,160.368,902.554,0.857,1.17,2025-12-09 11:20:47
160.7,149.784,160.451,902.95,0.396,2.53,2025-12-09 11:20:48
161.0,151.988,160.513,903.341,0.391,2.56,2025-12-09 11:20:48
160.5,154.116,160.56,903.733,0.392,2.55,2025-12-09 11:20:49
160.4,155.712,160.545,904.129,0.396,2.53,2025-12-09 11:20:49
159.9,156.909,160.534,904.518,0.389,2.57,2025-12-09 11:20:49
159.7,157.782,160.5,904.911,0.393,2.54,2025-12-09 11:20:50
159.3,158.311,160.35,905.303,0.392,2.55,2025-12-09 11:20:50
160.3,158.708,160.238,906.642,1.339,0.75,2025-12-09 11:20:52
139.9,158.956,160.238,907.025,0.383,2.61,2025-12-09 11:20:52
142.1,159.042,160.238,907.878,0.853,1.17,2025-12-09 11:20:53
140.7,154.807,160.238,908.27,0.392,2.55,2025-12-09 11:20:53
141.7,151.53,160.238,909.609,1.339,0.75,2025-12-09 11:20:54
140.2,148.823,140.2,909.969,0.36,2.78,2025-12-09 11:20:55
