distance_raw_m,distance_medema_m,distance_gated_m,t_rel_s,dt_s,fps,host_ts
342.4,342.126,342.195,1024.203,0.395,2.53,2025-12-09 11:22:49
342.3,342.145,342.196,1024.596,0.393,2.54,2025-12-09 11:22:49
342.2,342.159,342.197,1024.998,0.402,2.49,2025-12-09 11:22:50
342.1,342.169,342.198,1025.853,0.855,1.17,2025-12-09 11:22:51
341.9,342.177,342.198,1026.249,0.396,2.53,2025-12-09 11:22:51
342.0,342.158,342.174,1026.648,0.399,2.51,2025-12-09 11:22:51
341.9,342.118,342.13,1027.04,0.392,2.55,2025-12-09 11:22:52
342.0,342.089,342.098,1027.433,0.393,2.54,2025-12-09 11:22:52
342.3,342.066,342.073,1027.832,0.399,2.51,2025-12-09 11:22:53
342.1,342.05,342.055,1028.229,0.397,2.52,2025-12-09 11:22:53
342.1,342.062,342.066,1028.628,0.399,2.51,2025-12-09 11:22:53
342.0,342.072,342.075,1029.027,0.399,2.51,2025-12-09 11:22:54
341.8,342.079,342.081,1029.422,0.395,2.53,2025-12-09 11:22:54
342.3,342.084,342.086,1029.815,0.393,2.54,2025-12-09 11:22:55
341.9,342.063,342.064,1030.211,0.396,2.53,2025-12-09 11:22:55
342.1,342.047,342.048,1031.067,0.856,1.17,2025-12-09 11:22:56
342.1,342.06,342.061,1031.464,0.397,2.52,2025-12-09 11:22:56
342.1,342.07,342.071,1031.866,0.402,2.49,2025-12-09 11:22:57
342.1,342.078,342.078,1032.261,0.395,2.53,2025-12-09 11:22:57
341.9,342.083,342.084,1032.658,0.397,2.52,2025-12-09 11:22:57
341.9,342.087,342.088,1033.05,0.392,2.55,2025-12-09 11:22:58
342.1,342.091,342.091,1033.446,0.396,2.53,2025-12-09 11:22:58
342.2,342.093,342.093,1033.845,0.399,2.5,2025-12-09 11:22:59
342.1,342.095,342.095,1034.247,0.402,2.49,2025-12-09 11:22:59
341.9,342.096,342.096,1034.64,0.393,2.54,2025-12-09 11:22:59
342.0,342.097,342.097,1035.035,0.395,2.53,2025-12-09 11:23:00
342.0,342.073,342.073,1035.439,0.404,2.48,2025-12-09 11:23:00
342.2,342.055,342.055,1035.833,0.394,2.54,2025-12-09 11:23:01
342.1,342.041,342.041,1036.694,0.861,1.16,2025-12-09 11:23:01
341.9,342.031,342.031,1037.091,0.397,2.52,2025-12-09 11:23:02
342.0,342.023,342.023,1037.491,0.4,2.49,2025-12-09 11:23:02
342.2,342.042,342.042,1037.889,0.398,2.52,2025-12-09 11:23:03
342.0,342.032,342.032,1038.285,0.396,2.53,2025-12-09 11:23:03
342.0,342.024,342.024,1038.682,0.397,2.52,2025-12-09 11:23:04
341.9,342.018,342.018,1039.076,0.394,2.54,2025-12-09 11:23:04
342.1,342.013,342.013,1039.47,0.394,2.54,2025-12-09 11:23:04
342.2,342.01,342.01,1039.864,0.394,2.54,2025-12-09 11:23:05
342.2,342.033,342.033,1040.262,0.398,2.51,2025-12-09 11:23:05
342.0,342.049,342.049,1040.66,0.398,2.51,2025-12-09 11:23:05
342.1,342.062,342.062,1041.057,0.397,2.52,2025-12-09 11:23:06
342.2,342.097,342.097,1041.454,0.397,2.52,2025-12-09 11:23:06
342.2,342.122,342.122,1041.844,0.39,2.56,2025-12-09 11:23:07
342.1,342.117,342.117,1042.244,0.4,2.5,2025-12-09 11:23:07
342.1,342.113,342.113,1042.635,0.391,2.56,2025-12-09 11:23:07
342.1,342.109,342.109,1043.492,0.857,1.17,2025-12-09 11:23:08
342.0,342.107,342.107,1043.889,0.397,2.52,2025-12-09 11:23:09
342.2,342.105,342.105,1044.283,0.394,2.54,2025-12-09 11:23:09
342.1,342.104,342.104,1044.681,0.398,2.51,2025-12-09 11:23:10
342.0,342.103,342.103,1045.076,0.395,2.53,2025-12-09 11:23:10
342.0,342.077,342.077,1045.469,0.393,2.54,2025-12-09 11:23:10
342.1,342.083,342.083,1045.867,0.398,2.51,2025-12-09 11:23:11
342.1,342.087,342.087,1046.262,0.395,2.53,2025-12-09 11:23:11
342.1,342.09,342.09,1046.663,0.401,2.49,2025-12-09 11:23:11
342.3,342.093,342.093,1047.056,0.393,2.54,2025-12-09 11:23:12
341.8,342.095,342.095,1047.449,0.393,2.54,2025-12-09 11:23:12
341.8,342.096,342.096,1047.84,0.391,2.56,2025-12-09 11:23:13
342.0,342.072,342.072,1048.235,0.395,2.53,2025-12-09 11:23:13
342.1,342.054,342.054,1048.627,0.392,2.55,2025-12-09 11:23:13
341.9,342.015,342.015,1049.48,0.853,1.17,2025-12-09 11:23:14
342.1,342.012,342.012,1049.879,0.399,2.51,2025-12-09 11:23:15
342.1,342.034,342.034,1050.274,0.395,2.53,2025-12-09 11:23:15
342.2,342.05,342.05,1050.673,0.399,2.51,2025-12-09 11:23:15
341.8,342.063,342.063,1051.064,0.391,2.56,2025-12-09 11:23:16
342.0,342.072,342.072,1051.46,0.396,2.52,2025-12-09 11:23:16
342.2,342.079,342.079,1051.856,0.396,2.53,2025-12-09 11:23:17
341.7,342.059,342.059,1052.245,0.389,2.57,2025-12-09 11:23:17
342.1,342.044,342.044,1052.638,0.393,2.54,2025-12-09 11:23:17
342.0,342.033,342.033,1053.032,0.394,2.54,2025-12-09 11:23:18
