distance_raw_m,distance_medema_m,distance_gated_m,t_rel_s,dt_s,fps,host_ts
356.3,363.873,364.528,163.876,1.17,0.85,2025-12-09 11:08:29
340.5,362.655,364.528,164.234,0.358,2.79,2025-12-09 11:08:29
340.3,361.066,364.528,164.633,0.399,2.51,2025-12-09 11:08:29
340.5,355.925,364.528,165.026,0.393,2.54,2025-12-09 11:08:30
340.1,352.069,364.528,165.427,0.401,2.49,2025-12-09 11:08:30
337.7,349.126,337.7,165.823,0.396,2.53,2025-12-09 11:08:31
336.9,346.87,337.7,166.477,0.654,1.53,2025-12-09 11:08:31
326.9,344.577,337.7,166.881,0.404,2.48,2025-12-09 11:08:32
328.1,342.658,337.7,167.281,0.4,2.5,2025-12-09 11:08:32
338.3,341.219,337.7,167.684,0.403,2.48,2025-12-09 11:08:32
328.8,338.114,337.5,168.085,0.401,2.49,2025-12-09 11:08:33
327.8,335.61,335.325,168.483,0.398,2.51,2025-12-09 11:08:33
328.3,333.783,333.569,168.884,0.401,2.49,2025-12-09 11:08:34
338.8,332.537,332.377,169.998,1.114,0.9,2025-12-09 11:08:35
328.0,331.478,331.357,170.376,0.378,2.65,2025-12-09 11:08:35
328.9,330.683,330.593,170.775,0.399,2.51,2025-12-09 11:08:36
328.8,330.213,330.145,171.416,0.641,1.56,2025-12-09 11:08:36
329.1,329.884,329.834,171.812,0.396,2.53,2025-12-09 11:08:37
338.5,329.638,329.6,172.206,0.394,2.54,2025-12-09 11:08:37
328.0,329.454,329.425,172.606,0.4,2.5,2025-12-09 11:08:37
326.6,329.29,329.269,172.999,0.393,2.54,2025-12-09 11:08:38
328.3,329.043,329.027,173.397,0.398,2.51,2025-12-09 11:08:38
338.6,328.857,328.845,173.796,0.399,2.51,2025-12-09 11:08:39
328.7,328.718,328.709,174.198,0.402,2.49,2025-12-09 11:08:39
328.6,328.688,328.682,174.592,0.394,2.54,2025-12-09 11:08:39
337.5,328.691,328.686,174.99,0.398,2.51,2025-12-09 11:08:40
328.7,328.693,328.69,175.656,0.666,1.5,2025-12-09 11:08:40
328.5,328.695,328.692,176.059,0.403,2.48,2025-12-09 11:08:41
328.3,328.671,328.669,176.459,0.4,2.5,2025-12-09 11:08:41
328.5,328.628,328.627,177.309,0.85,1.18,2025-12-09 11:08:42
340.8,328.596,328.627,177.711,0.402,2.49,2025-12-09 11:08:43
340.8,328.572,328.627,179.051,1.34,0.75,2025-12-09 11:08:44
330.0,328.929,328.595,179.423,0.372,2.69,2025-12-09 11:08:44
329.7,329.197,328.571,179.827,0.404,2.48,2025-12-09 11:08:45
329.8,329.398,328.854,180.221,0.394,2.54,2025-12-09 11:08:45
340.6,329.548,328.854,180.618,0.397,2.52,2025-12-09 11:08:45
332.9,329.661,329.09,181.013,0.395,2.53,2025-12-09 11:08:46
333.9,330.471,329.318,182.297,1.284,0.78,2025-12-09 11:08:47
341.4,331.328,329.318,183.153,0.856,1.17,2025-12-09 11:08:48
340.8,333.646,329.318,183.551,0.398,2.51,2025-12-09 11:08:48
340.8,335.435,329.318,183.95,0.399,2.51,2025-12-09 11:08:49
340.8,336.776,329.318,184.348,0.398,2.51,2025-12-09 11:08:49
333.3,337.782,330.213,184.744,0.396,2.53,2025-12-09 11:08:49
334.1,338.536,330.985,185.142,0.398,2.51,2025-12-09 11:08:50
345.0,339.102,330.985,185.775,0.633,1.58,2025-12-09 11:08:51
346.5,339.527,330.985,186.174,0.399,2.51,2025-12-09 11:08:51
334.6,338.295,331.714,186.568,0.394,2.54,2025-12-09 11:08:51
332.9,337.371,332.26,186.972,0.404,2.47,2025-12-09 11:08:52
333.9,336.678,332.67,188.313,1.341,0.75,2025-12-09 11:08:53
332.9,335.984,332.978,188.664,0.351,2.85,2025-12-09 11:08:53
346.3,335.463,332.978,189.3,0.636,1.57,2025-12-09 11:08:54
345.0,335.072,332.978,189.7,0.4,2.5,2025-12-09 11:08:55
334.0,334.804,333.208,190.554,0.854,1.17,2025-12-09 11:08:55
335.0,334.853,333.381,191.839,1.285,0.78,2025-12-09 11:08:57
334.9,334.89,333.536,193.537,1.698,0.59,2025-12-09 11:08:58
346.3,334.917,333.536,193.934,0.397,2.52,2025-12-09 11:08:59
334.8,334.913,333.852,195.275,1.341,0.75,2025-12-09 11:09:00
345.2,334.935,333.852,196.393,1.118,0.9,2025-12-09 11:09:01
344.7,337.376,333.852,197.621,1.228,0.81,2025-12-09 11:09:02
345.7,339.332,333.852,198.234,0.613,1.63,2025-12-09 11:09:03
346.7,340.799,333.852,199.574,1.34,0.75,2025-12-09 11:09:04
346.1,342.024,346.1,199.943,0.369,2.71,2025-12-09 11:09:05
335.6,342.943,346.1,200.571,0.628,1.59,2025-12-09 11:09:05
333.2,343.632,346.1,200.967,0.396,2.53,2025-12-09 11:09:06
333.2,341.624,346.1,201.823,0.856,1.17,2025-12-09 11:09:07
332.3,339.518,346.1,202.219,0.396,2.53,2025-12-09 11:09:07
332.9,337.939,332.9,202.615,0.396,2.53,2025-12-09 11:09:07
334.7,336.754,332.9,203.015,0.4,2.5,2025-12-09 11:09:08
333.3,335.866,332.9,203.41,0.395,2.53,2025-12-09 11:09:08
333.7,335.224,333.0,203.806,0.396,2.53,2025-12-09 11:09:09
333.5,334.793,333.125,204.203,0.397,2.52,2025-12-09 11:09:09
333.9,334.52,333.269,204.6,0.397,2.52,2025-12-09 11:09:09
334.0,334.315,333.377,204.997,0.397,2.52,2025-12-09 11:09:10
344.4,334.211,333.377,205.661,0.664,1.51,2025-12-09 11:09:10
329.5,334.133,333.457,206.305,0.644,1.55,2025-12-09 11:09:11
338.3,334.1,333.568,208.418,2.113,1.55,2025-12-09 11:09:13
338.6,335.15,333.676,209.758,1.34,0.75,2025-12-09 11:09:15
338.7,336.013,334.832,210.126,0.368,2.72,2025-12-09 11:09:15
357.7,336.659,334.832,210.527,0.401,2.49,2025-12-09 11:09:15
358.7,337.17,334.832,211.868,1.341,0.75,2025-12-09 11:09:17
338.4,337.552,335.724,212.213,0.345,2.9,2025-12-09 11:09:17
331.8,337.839,336.393,212.609,0.396,2.53,2025-12-09 11:09:17
329.9,337.979,336.895,214.346,1.737,0.58,2025-12-09 11:09:19
329.1,336.435,335.621,214.992,0.646,1.55,2025-12-09 11:09:20
326.5,334.801,334.191,215.389,0.397,2.52,2025-12-09 11:09:20
325.9,333.376,332.918,215.785,0.396,2.53,2025-12-09 11:09:21
325.9,331.657,331.314,216.178,0.393,2.54,2025-12-09 11:09:21
326.0,330.243,329.985,216.58,0.402,2.49,2025-12-09 11:09:21
326.6,329.182,328.989,216.975,0.395,2.53,2025-12-09 11:09:22
326.0,328.386,328.242,217.371,0.396,2.53,2025-12-09 11:09:22
326.0,327.79,327.681,217.764,0.393,2.54,2025-12-09 11:09:23
326.6,327.342,327.261,218.161,0.397,2.52,2025-12-09 11:09:23
326.6,327.157,327.096,218.554,0.393,2.54,2025-12-09 11:09:23
326.5,326.993,326.947,218.95,0.396,2.53,2025-12-09 11:09:24
325.9,326.869,326.835,219.797,0.847,1.18,2025-12-09 11:09:25
325.7,326.777,326.751,220.195,0.398,2.51,2025-12-09 11:09:25
326.3,326.658,326.638,220.594,0.399,2.51,2025-12-09 11:09:25
325.4,326.468,326.454,220.994,0.4,2.5,2025-12-09 11:09:26
324.9,326.276,326.265,221.39,0.396,2.53,2025-12-09 11:09:26
325.3,326.057,326.049,221.786,0.396,2.53,2025-12-09 11:09:27
325.8,325.893,325.887,222.187,0.401,2.49,2025-12-09 11:09:27
326.7,325.77,325.765,222.584,0.397,2.52,2025-12-09 11:09:27
325.5,325.702,325.699,222.984,0.4,2.5,2025-12-09 11:09:28
325.5,325.652,325.649,223.382,0.398,2.51,2025-12-09 11:09:28
326.0,325.689,325.687,223.776,0.394,2.54,2025-12-09 11:09:29
325.8,325.717,325.715,224.176,0.4,2.5,2025-12-09 11:09:29
326.0,325.737,325.736,224.579,0.403,2.48,2025-12-09 11:09:29
325.1,325.753,325.752,224.972,0.393,2.54,2025-12-09 11:09:30
326.1,325.815,325.814,225.373,0.401,2.49,2025-12-09 11:09:30
325.8,325.811,325.811,225.767,0.394,2.54,2025-12-09 11:09:31
326.5,325.858,325.858,226.163,0.396,2.53,2025-12-09 11:09:31
327.3,325.919,325.918,226.561,0.398,2.51,2025-12-09 11:09:31
326.2,325.989,325.989,227.414,0.853,1.17,2025-12-09 11:09:32
326.1,326.042,326.042,227.81,0.396,2.53,2025-12-09 11:09:33
326.0,326.081,326.081,228.21,0.4,2.5,2025-12-09 11:09:33
326.1,326.086,326.086,228.61,0.4,2.5,2025-12-09 11:09:33
326.9,326.09,326.089,229.01,0.4,2.5,2025-12-09 11:09:34
326.6,326.092,326.092,229.402,0.392,2.55,2025-12-09 11:09:34
327.6,326.219,326.219,229.802,0.4,2.5,2025-12-09 11:09:35
327.1,326.389,326.389,230.205,0.403,2.48,2025-12-09 11:09:35
327.3,326.567,326.567,230.604,0.399,2.51,2025-12-09 11:09:35
327.0,326.7,326.7,231.001,0.397,2.52,2025-12-09 11:09:36
327.9,326.85,326.85,231.397,0.396,2.53,2025-12-09 11:09:36
327.8,326.963,326.963,231.799,0.402,2.49,2025-12-09 11:09:37
327.0,327.047,327.047,232.646,0.847,1.18,2025-12-09 11:09:37
348.6,327.235,327.047,233.987,1.341,0.75,2025-12-09 11:09:39
325.6,327.376,327.035,234.338,0.351,2.86,2025-12-09 11:09:39
325.9,327.282,327.026,234.739,0.401,2.49,2025-12-09 11:09:40
326.4,327.062,326.87,235.138,0.399,2.51,2025-12-09 11:09:40
326.2,326.846,326.702,235.531,0.393,2.54,2025-12-09 11:09:40
358.2,326.685,326.702,235.929,0.398,2.51,2025-12-09 11:09:41
339.1,326.614,326.702,236.326,0.397,2.52,2025-12-09 11:09:41
329.3,327.285,326.577,236.726,0.4,2.5,2025-12-09 11:09:42
328.2,327.789,326.533,237.127,0.401,2.49,2025-12-09 11:09:42
328.0,328.167,326.899,237.527,0.4,2.5,2025-12-09 11:09:42
340.2,328.45,326.899,237.929,0.402,2.49,2025-12-09 11:09:43
328.5,328.463,327.225,238.325,0.396,2.52,2025-12-09 11:09:43
328.3,328.422,327.493,239.176,0.851,1.18,2025-12-09 11:09:44
328.1,328.391,327.67,239.575,0.399,2.51,2025-12-09 11:09:44
328.1,328.369,327.778,240.221,0.646,1.55,2025-12-09 11:09:45
329.1,328.351,327.908,241.565,1.344,0.74,2025-12-09 11:09:46
358.9,328.339,327.908,242.183,0.618,1.62,2025-12-09 11:09:47
359.1,328.529,327.908,242.827,0.644,1.55,2025-12-09 11:09:48
357.0,335.647,327.908,243.225,0.398,2.51,2025-12-09 11:09:48
360.3,341.46,327.908,243.62,0.395,2.53,2025-12-09 11:09:48
362.3,345.87,362.3,244.019,0.399,2.51,2025-12-09 11:09:49
363.3,349.478,362.3,245.36,1.341,0.75,2025-12-09 11:09:50
327.0,352.183,362.3,245.711,0.351,2.86,2025-12-09 11:09:51
327.1,354.212,362.3,246.114,0.403,2.48,2025-12-09 11:09:51
328.2,347.709,362.3,246.514,0.4,2.5,2025-12-09 11:09:51
327.6,342.682,362.3,246.919,0.405,2.47,2025-12-09 11:09:52
325.6,338.786,325.6,247.315,0.396,2.53,2025-12-09 11:09:52
327.1,335.865,325.6,247.712,0.397,2.52,2025-12-09 11:09:52
327.5,333.774,325.6,248.106,0.394,2.54,2025-12-09 11:09:53
326.9,332.105,325.925,248.5,0.394,2.54,2025-12-09 11:09:53
324.4,330.804,326.169,248.894,0.394,2.54,2025-12-09 11:09:54
324.5,329.828,326.352,249.288,0.394,2.54,2025-12-09 11:09:54
324.6,328.521,325.914,249.689,0.401,2.49,2025-12-09 11:09:54
324.4,327.516,325.56,250.085,0.396,2.53,2025-12-09 11:09:55
323.3,326.737,325.27,250.479,0.394,2.54,2025-12-09 11:09:55
323.3,326.153,325.053,250.876,0.397,2.52,2025-12-09 11:09:56
322.1,325.439,324.615,251.99,1.114,0.9,2025-12-09 11:09:57
322.5,324.905,324.286,252.358,0.368,2.72,2025-12-09 11:09:57
323.6,324.503,324.039,252.757,0.399,2.51,2025-12-09 11:09:58
324.2,324.203,323.855,253.153,0.396,2.53,2025-12-09 11:09:58
323.9,324.052,323.791,253.545,0.392,2.55,2025-12-09 11:09:58
324.1,324.014,323.818,253.941,0.396,2.53,2025-12-09 11:09:59
324.5,324.035,323.889,254.34,0.399,2.51,2025-12-09 11:09:59
324.7,324.077,323.966,254.745,0.405,2.47,2025-12-09 11:10:00
324.4,324.157,324.075,255.143,0.398,2.51,2025-12-09 11:10:00
324.5,324.243,324.181,255.544,0.401,2.49,2025-12-09 11:10:00
325.6,324.307,324.261,255.948,0.404,2.48,2025-12-09 11:10:01
325.5,324.405,324.371,256.354,0.406,2.46,2025-12-09 11:10:01
326.2,324.679,324.653,256.754,0.4,2.5,2025-12-09 11:10:02
326.7,324.909,324.89,257.146,0.392,2.55,2025-12-09 11:10:02
326.0,325.182,325.167,257.993,0.847,1.18,2025-12-09 11:10:03
327.8,325.437,325.425,258.393,0.4,2.5,2025-12-09 11:10:03
325.8,325.627,325.619,258.79,0.397,2.52,2025-12-09 11:10:04
327.4,325.896,325.889,259.188,0.398,2.51,2025-12-09 11:10:04
327.6,326.272,326.267,259.581,0.393,2.54,2025-12-09 11:10:04
328.9,326.604,326.6,259.98,0.399,2.51,2025-12-09 11:10:05
329.2,326.853,326.85,260.373,0.393,2.54,2025-12-09 11:10:05
329.7,327.365,327.363,260.771,0.398,2.51,2025-12-09 11:10:06
330.4,327.823,327.822,261.163,0.392,2.55,2025-12-09 11:10:06
331.4,328.293,328.291,262.448,1.285,0.78,2025-12-09 11:10:07
363.8,328.819,328.291,282.4,19.952,0.78,2025-12-09 11:10:27
364.8,329.465,328.291,283.671,1.271,0.79,2025-12-09 11:10:29
435.4,338.048,328.291,292.898,9.227,0.79,2025-12-09 11:10:38
399.1,344.736,328.291,293.237,0.339,2.95,2025-12-09 11:10:38
342.9,349.752,342.9,293.631,0.394,2.54,2025-12-09 11:10:38
343.9,353.514,342.9,295.037,1.406,0.71,2025-12-09 11:10:40
37.7,351.111,342.9,298.538,3.501,0.71,2025-12-09 11:10:43
37.8,349.058,342.9,298.6,0.062,16.13,2025-12-09 11:10:43
37.8,271.244,342.9,298.682,0.082,12.2,2025-12-09 11:10:43
37.3,212.883,342.9,298.782,0.1,10.0,2025-12-09 11:10:44
37.2,169.087,37.2,298.882,0.1,10.0,2025-12-09 11:10:44
37.2,136.14,37.2,298.982,0.1,10.0,2025-12-09 11:10:44
37.2,111.405,37.2,299.083,0.101,9.9,2025-12-09 11:10:44
37.1,92.854,37.2,299.183,0.1,10.0,2025-12-09 11:10:44
37.1,78.94,37.2,299.283,0.1,10.0,2025-12-09 11:10:44
37.1,68.48,37.175,299.384,0.101,9.9,2025-12-09 11:10:44
37.2,60.635,37.156,299.484,0.1,10.0,2025-12-09 11:10:44
37.2,54.751,37.142,299.584,0.1,10.0,2025-12-09 11:10:44
37.9,50.364,37.157,299.685,0.101,9.9,2025-12-09 11:10:45
37.4,47.073,37.167,299.785,0.1,10.0,2025-12-09 11:10:45
326.2,44.655,37.167,300.14,0.355,2.82,2025-12-09 11:10:45
329.8,42.966,37.167,301.479,1.339,0.75,2025-12-09 11:10:46
337.4,113.774,37.167,301.837,0.358,2.79,2025-12-09 11:10:47
37.5,166.881,37.226,302.1,0.263,3.8,2025-12-09 11:10:47
37.1,206.711,37.269,302.161,0.061,16.39,2025-12-09 11:10:47
37.1,164.408,37.302,302.242,0.081,12.35,2025-12-09 11:10:47
37.9,132.681,37.326,302.342,0.1,10.0,2025-12-09 11:10:47
38.0,108.886,37.37,302.443,0.101,9.9,2025-12-09 11:10:47
37.3,90.989,37.352,302.543,0.1,10.0,2025-12-09 11:10:47
37.3,77.567,37.339,302.643,0.1,10.0,2025-12-09 11:10:47
37.8,67.625,37.454,302.743,0.1,10.0,2025-12-09 11:10:48
38.0,60.169,37.541,302.844,0.101,9.9,2025-12-09 11:10:48
37.9,54.577,37.606,302.944,0.1,10.0,2025-12-09 11:10:48
37.8,50.383,37.654,303.044,0.1,10.0,2025-12-09 11:10:48
37.7,47.237,37.691,303.145,0.101,9.9,2025-12-09 11:10:48
37.8,44.878,37.718,303.703,0.558,1.79,2025-12-09 11:10:48
37.6,43.108,37.738,303.763,0.06,16.67,2025-12-09 11:10:49
37.8,41.781,37.754,303.846,0.083,12.05,2025-12-09 11:10:49
37.8,40.786,37.765,303.946,0.1,10.0,2025-12-09 11:10:49
37.5,40.039,37.774,304.047,0.101,9.9,2025-12-09 11:10:49
37.4,39.43,37.731,304.147,0.1,10.0,2025-12-09 11:10:49
