distance_m,distance_filt_m,t_rel_s,dt_s,fps,host_ts
529.6,416.275,4.148,1.72,0.58,11/28/2025 19:47
530.6,416.275,5.488,1.34,0.75,11/28/2025 19:47
521.5,521.5,6.071,0.583,1.72,11/28/2025 19:47
520.9,521.35,6.462,0.391,2.56,11/28/2025 19:47
521,521.387,6.861,0.399,2.51,11/28/2025 19:47
520.6,521.291,11.82,4.959,2.51,11/28/2025 19:47
521.9,521.218,12.222,0.402,2.49,11/28/2025 19:47
520.7,521.138,13.078,0.856,1.17,11/28/2025 19:47
520.1,521.029,13.479,0.401,2.49,11/28/2025 19:47
520.4,520.922,13.869,0.39,2.56,11/28/2025 19:47
520.3,520.791,14.495,0.626,1.6,11/28/2025 19:47
521.3,520.693,15.779,1.284,0.78,11/28/2025 19:47
501.6,520.693,27.436,11.657,0.78,11/28/2025 19:48
500,520.693,28.777,1.341,0.75,11/28/2025 19:48
519.7,520.595,29.124,0.347,2.88,11/28/2025 19:48
520.1,520.521,29.521,0.397,2.52,11/28/2025 19:48
521.1,520.466,29.916,0.395,2.53,11/28/2025 19:48
521.1,520.625,30.311,0.395,2.53,11/28/2025 19:48
520.8,520.668,31.162,0.851,1.18,11/28/2025 19:48
522.6,520.776,31.559,0.397,2.52,11/28/2025 19:48
520.9,520.857,31.951,0.392,2.55,11/28/2025 19:48
520.4,520.868,32.35,0.399,2.51,11/28/2025 19:48
520.3,520.851,32.747,0.397,2.52,11/28/2025 19:48
520.4,520.738,33.145,0.398,2.51,11/28/2025 19:48
520.6,520.654,33.549,0.404,2.48,11/28/2025 19:48
520.6,520.59,33.946,0.397,2.52,11/28/2025 19:48
520.4,520.543,34.336,0.39,2.56,11/28/2025 19:48
520.5,520.532,34.734,0.398,2.51,11/28/2025 19:48
520.3,520.524,35.13,0.396,2.53,11/28/2025 19:48
520.6,520.518,35.52,0.39,2.56,11/28/2025 19:48
520.9,520.514,35.919,0.399,2.51,11/28/2025 19:48
520.4,520.51,36.761,0.842,1.19,11/28/2025 19:48
520.7,520.533,37.156,0.395,2.53,11/28/2025 19:48
520.7,520.574,37.55,0.394,2.54,11/28/2025 19:48
