label,from_m,to_m,start_s,rise_time_10_90_s,settling_time_s,overshoot_m,n_points
high_to_low_1,525.0,7.0,8.95,0.1019416174976443,,0.9000000000000004,384
low_to_high_1,7.0,525.0,12.315,0.33536502449915706,74.733,0.0,358
high_to_low_2,525.0,7.0,15.392,0.10073901205756519,,0.9000000000000004,350
low_to_high_2,7.0,525.0,20.568,0.31813030616407567,66.48,0.0,319
high_to_low_3,525.0,7.0,24.386,0.10318965986818052,,0.9000000000000004,306
low_to_high_3,7.0,525.0,28.044,0.5108187455240999,59.004000000000005,0.0,278
high_to_low_4,525.0,7.0,31.128,0.10085669781931461,,0.9000000000000004,270
low_to_high_4,7.0,525.0,47.889,0.31878609320132734,39.159,0.0,190
high_to_low_5,525.0,7.0,52.026,0.10093530787217464,,0.9000000000000004,180
low_to_high_5,7.0,525.0,56.505,0.3175025199132444,30.543,0.0,156
high_to_low_6,525.0,7.0,59.648,0.10396266044340552,,0.9000000000000004,145
low_to_high_6,7.0,525.0,63.761,0.31787710984283457,23.287,0.0,113
high_to_low_7,525.0,7.0,66.104,0.10291656965463769,,0.9000000000000004,106
low_to_high_7,7.0,525.0,69.449,0.3178771098428337,17.599000000000004,0.0,80
high_to_low_8,525.0,7.0,73.09,0.10291656965463725,,0.9000000000000004,67
low_to_high_8,7.0,525.0,76.19,0.11649885267697035,10.858000000000004,0.0,43
high_to_low_9,525.0,7.0,80.387,0.10653825749847379,,0.3371000000000004,34
low_to_high_9,7.0,525.0,83.344,0.31719804148564856,3.7040000000000077,0.0,11
