label,from_m,to_m,start_s,rise_time_10_90_s,settling_time_s,overshoot_m,n_points
high_to_low_1,525.0,7.0,8.95,0.10554437526168614,,1.0,384
low_to_high_1,7.0,525.0,12.315,0.31436685469753023,73.946,104.10000000000002,358
high_to_low_2,525.0,7.0,15.392,0.10638039673278848,,1.0,350
low_to_high_2,7.0,525.0,20.568,0.33427474610039565,65.693,104.10000000000002,319
high_to_low_3,525.0,7.0,24.386,0.10555395683453256,,1.0,306
low_to_high_3,7.0,525.0,28.044,0.18829048543689175,58.217,104.10000000000002,278
high_to_low_4,525.0,7.0,31.128,0.1062203019564068,,1.0,270
low_to_high_4,7.0,525.0,47.889,0.3159316733342765,38.37199999999999,0.0,190
high_to_low_5,525.0,7.0,52.026,0.1047889515658395,,1.0,180
low_to_high_5,7.0,525.0,56.505,0.5484592182592779,29.755999999999993,0.0,156
high_to_low_6,525.0,7.0,59.648,0.10448409619860566,,1.0,145
low_to_high_6,7.0,525.0,63.761,0.26015478925416446,22.499999999999993,0.0,113
high_to_low_7,525.0,7.0,66.104,0.10309659863945586,,0.23099999999999987,106
low_to_high_7,7.0,525.0,69.449,0.31646127478984787,16.811999999999998,0.0,80
high_to_low_8,525.0,7.0,73.09,0.10388689695380071,,0.23099999999999987,67
low_to_high_8,7.0,525.0,76.19,0.31584014807728633,10.070999999999998,0.0,43
high_to_low_9,525.0,7.0,80.387,0.1031366906474821,,0.025000000000000355,34
low_to_high_9,7.0,525.0,83.344,0.7164400561444273,2.9170000000000016,0.0,11
