distance_m,distance_filt_m,t_rel_s,dt_s,fps,host_ts
3.3,3.3,46.463,0.1,10.0,2025-11-28 14:37:38
3.3,3.3,46.563,0.1,10.0,2025-11-28 14:37:38
3.3,3.3,46.664,0.101,9.9,2025-11-28 14:37:38
3.4,3.3,46.764,0.1,10.0,2025-11-28 14:37:38
3.3,3.3,46.864,0.1,10.0,2025-11-28 14:37:39
3.3,3.3,46.964,0.1,9.9,2025-11-28 14:37:39
3.3,3.3,47.065,0.101,10.0,2025-11-28 14:37:39
3.3,3.3,47.165,0.1,10.0,2025-11-28 14:37:39
3.3,3.3,47.265,0.1,9.9,2025-11-28 14:37:39
3.4,3.3,47.366,0.101,10.0,2025-11-28 14:37:39
3.4,3.3,47.466,0.1,10.0,2025-11-28 14:37:39
3.3,3.3,47.566,0.1,10.0,2025-11-28 14:37:39
3.3,3.3,47.667,0.101,9.9,2025-11-28 14:37:39
3.3,3.3,48.214,0.547,1.83,2025-11-28 14:37:40
3.4,3.3,48.299,0.085,11.76,2025-11-28 14:37:40
3.3,3.3,48.398,0.099,10.1,2025-11-28 14:37:40
3.3,3.3,48.498,0.1,10.0,2025-11-28 14:37:40
3.3,3.3,48.599,0.101,9.9,2025-11-28 14:37:40
3.3,3.3,48.699,0.1,10.0,2025-11-28 14:37:40
3.3,3.3,48.8,0.101,9.9,2025-11-28 14:37:40
3.4,3.3,48.9,0.1,10.0,2025-11-28 14:37:41
3.4,3.3,49.0,0.1,10.0,2025-11-28 14:37:41
3.3,3.3,49.1,0.1,10.0,2025-11-28 14:37:41
3.3,3.3,49.201,0.101,9.9,2025-11-28 14:37:41
3.3,3.3,49.301,0.1,10.0,2025-11-28 14:37:41
3.3,3.3,49.402,0.101,9.9,2025-11-28 14:37:41
3.3,3.3,49.502,0.1,10.0,2025-11-28 14:37:41
3.4,3.3,49.602,0.1,10.0,2025-11-28 14:37:41
3.4,3.3,49.703,0.101,9.9,2025-11-28 14:37:41
3.3,3.3,49.803,0.1,10.0,2025-11-28 14:37:41
3.3,3.3,49.903,0.1,10.0,2025-11-28 14:37:42
3.3,3.3,50.003,0.1,10.0,2025-11-28 14:37:42
3.3,3.3,50.104,0.101,9.9,2025-11-28 14:37:42
3.3,3.3,50.204,0.1,10.0,2025-11-28 14:37:42
3.3,3.3,50.304,0.1,10.0,2025-11-28 14:37:42
3.4,3.3,50.405,0.101,9.9,2025-11-28 14:37:42
3.3,3.3,50.505,0.1,10.0,2025-11-28 14:37:42
3.3,3.3,50.605,0.1,10.0,2025-11-28 14:37:42
3.3,3.3,50.706,0.101,9.9,2025-11-28 14:37:42
3.3,3.3,50.806,0.1,10.0,2025-11-28 14:37:42
3.3,3.3,50.906,0.1,10.0,2025-11-28 14:37:43
3.4,3.3,51.007,0.101,9.9,2025-11-28 14:37:43
3.4,3.3,51.107,0.1,10.0,2025-11-28 14:37:43
3.3,3.3,51.207,0.1,10.0,2025-11-28 14:37:43
3.3,3.3,51.308,0.101,9.9,2025-11-28 14:37:43
3.3,3.3,51.408,0.1,10.0,2025-11-28 14:37:43
3.3,3.3,51.508,0.1,10.0,2025-11-28 14:37:43
3.3,3.3,51.609,0.101,9.9,2025-11-28 14:37:43
3.4,3.3,51.709,0.1,10.0,2025-11-28 14:37:43
3.4,3.3,51.809,0.1,10.0,2025-11-28 14:37:43
3.3,3.3,51.91,0.101,9.9,2025-11-28 14:37:44
3.3,3.3,52.01,0.1,10.0,2025-11-28 14:37:44
3.3,3.3,52.11,0.1,10.0,2025-11-28 14:37:44
3.3,3.3,52.211,0.101,9.9,2025-11-28 14:37:44
3.3,3.3,52.311,0.1,10.0,2025-11-28 14:37:44
3.4,3.3,52.411,0.1,10.0,2025-11-28 14:37:44
3.4,3.3,52.512,0.101,9.9,2025-11-28 14:37:44
3.3,3.3,52.612,0.1,10.0,2025-11-28 14:37:44
3.3,3.3,52.712,0.1,10.0,2025-11-28 14:37:44
3.3,3.3,52.813,0.101,9.9,2025-11-28 14:37:44
3.3,3.3,53.36,0.547,1.83,2025-11-28 14:37:45
3.3,3.3,53.444,0.084,11.76,2025-11-28 14:37:45
3.3,3.3,53.544,0.1,10.1,2025-11-28 14:37:45
3.3,3.3,53.644,0.1,9.9,2025-11-28 14:37:45
3.3,3.3,53.745,0.101,10.0,2025-11-28 14:37:46
3.4,3.3,53.845,0.1,10.0,2025-11-28 14:37:46
3.4,3.3,53.945,0.1,10.0,2025-11-28 14:37:46
3.3,3.3,54.046,0.101,9.9,2025-11-28 14:37:46
3.3,3.3,54.146,0.1,10.0,2025-11-28 14:37:46
3.3,3.3,54.246,0.1,10.0,2025-11-28 14:37:46
3.3,3.3,54.347,0.101,9.9,2025-11-28 14:37:46
3.3,3.3,54.447,0.1,10.0,2025-11-28 14:37:46
3.3,3.3,54.547,0.1,10.0,2025-11-28 14:37:46
3.4,3.3,54.647,0.1,9.9,2025-11-28 14:37:46
3.3,3.3,54.748,0.101,10.0,2025-11-28 14:37:47
3.3,3.3,54.848,0.1,10.0,2025-11-28 14:37:47
3.3,3.3,54.948,0.1,10.0,2025-11-28 14:37:47
3.3,3.3,55.049,0.101,9.9,2025-11-28 14:37:47
3.3,3.3,55.149,0.1,10.0,2025-11-28 14:37:47
3.4,3.3,55.249,0.1,10.0,2025-11-28 14:37:47
3.4,3.3,55.35,0.101,9.9,2025-11-28 14:37:47
3.3,3.3,55.45,0.1,10.0,2025-11-28 14:37:47
3.3,3.3,55.55,0.1,10.0,2025-11-28 14:37:47
3.3,3.3,55.651,0.101,9.9,2025-11-28 14:37:47
3.3,3.3,55.751,0.1,10.0,2025-11-28 14:37:47
3.3,3.3,55.851,0.1,10.0,2025-11-28 14:37:48
3.4,3.3,55.952,0.101,9.9,2025-11-28 14:37:48
3.4,3.3,56.052,0.1,10.0,2025-11-28 14:37:48
3.3,3.3,56.152,0.1,10.0,2025-11-28 14:37:48
3.3,3.3,56.253,0.101,9.9,2025-11-28 14:37:48
