distance_raw_m,distance_medema_m,distance_gated_m,t_rel_s,dt_s,fps,host_ts
338.2,304.327,326.9,567.959,4.874,0.79,2025-12-09 11:15:13
339.2,312.795,326.9,569.298,1.339,0.75,2025-12-09 11:15:14
37.4,319.147,326.9,569.388,0.09,11.11,2025-12-09 11:15:14
37.3,323.91,37.3,569.487,0.099,10.1,2025-12-09 11:15:14
37.3,252.282,37.3,569.587,0.1,10.0,2025-12-09 11:15:14
37.0,198.537,37.3,569.688,0.101,9.9,2025-12-09 11:15:15
36.9,158.228,37.3,569.788,0.1,10.0,2025-12-09 11:15:15
36.9,127.921,37.225,569.888,0.1,10.0,2025-12-09 11:15:15
25.5,105.166,37.225,570.114,0.226,4.41,2025-12-09 11:15:15
37.2,88.099,37.169,571.725,1.611,0.62,2025-12-09 11:15:17
37.1,75.299,37.127,571.786,0.061,16.39,2025-12-09 11:15:17
37.4,65.75,37.12,571.867,0.081,12.35,2025-12-09 11:15:17
319.8,58.612,37.12,573.139,1.272,0.79,2025-12-09 11:15:18
320.2,53.309,37.12,573.999,0.86,1.16,2025-12-09 11:15:19
327.4,119.932,37.12,574.665,0.666,1.5,2025-12-09 11:15:20
328.3,169.999,37.12,575.301,0.636,1.57,2025-12-09 11:15:20
327.1,209.274,327.1,575.699,0.398,2.51,2025-12-09 11:15:20
318.9,238.731,327.1,577.038,1.339,0.75,2025-12-09 11:15:22
322.1,260.823,327.1,577.634,0.596,1.68,2025-12-09 11:15:23
37.8,276.142,327.1,577.899,0.265,3.77,2025-12-09 11:15:23
37.5,286.832,327.1,577.96,0.061,16.39,2025-12-09 11:15:23
37.4,224.574,327.1,578.041,0.081,12.35,2025-12-09 11:15:23
37.3,177.805,327.1,578.141,0.1,10.0,2025-12-09 11:15:23
37.3,142.704,37.3,578.241,0.1,10.0,2025-12-09 11:15:23
37.4,116.378,37.3,578.341,0.1,10.0,2025-12-09 11:15:23
37.5,96.633,37.3,578.442,0.101,9.9,2025-12-09 11:15:23
37.4,81.825,37.325,579.0,0.558,1.79,2025-12-09 11:15:24
321.4,70.719,37.325,579.3,0.3,3.33,2025-12-09 11:15:24
322.4,62.414,37.325,580.638,1.338,0.75,2025-12-09 11:15:25
323.0,127.161,37.325,581.908,1.27,0.79,2025-12-09 11:15:27
327.0,175.97,37.325,582.282,0.374,2.67,2025-12-09 11:15:27
327.4,212.728,327.4,582.674,0.392,2.55,2025-12-09 11:15:28
328.1,241.296,327.4,583.069,0.395,2.53,2025-12-09 11:15:28
37.8,262.722,327.4,583.333,0.264,3.79,2025-12-09 11:15:28
37.3,278.791,327.4,583.394,0.061,16.39,2025-12-09 11:15:28
37.3,218.544,327.4,583.474,0.08,12.5,2025-12-09 11:15:28
37.5,173.283,327.4,583.575,0.101,9.9,2025-12-09 11:15:28
