distance_raw_m,distance_medema_m,distance_gated_m,t_rel_s,dt_s,fps,host_ts
337.8,338.656,338.656,63.384,0.637,1.57,2025-12-09 11:48:59
338.7,338.66,338.66,63.781,0.397,2.53,2025-12-09 11:48:59
339.7,338.664,338.664,65.122,1.341,0.75,2025-12-09 11:49:00
337.9,338.668,338.668,65.721,0.599,1.67,2025-12-09 11:49:01
338.0,338.601,338.601,66.373,0.652,1.53,2025-12-09 11:49:02
337.8,338.541,338.541,67.005,0.632,1.58,2025-12-09 11:49:02
340.0,338.487,338.487,67.403,0.398,2.51,2025-12-09 11:49:03
337.5,338.428,338.428,68.257,0.854,1.17,2025-12-09 11:49:04
336.6,338.365,338.365,68.648,0.391,2.56,2025-12-09 11:49:04
337.8,338.309,338.309,69.049,0.401,2.49,2025-12-09 11:49:04
338.6,338.258,338.258,69.702,0.653,1.53,2025-12-09 11:49:05
338.7,338.212,338.212,70.096,0.394,2.54,2025-12-09 11:49:05
337.9,338.181,338.181,70.492,0.396,2.53,2025-12-09 11:49:06
338.9,338.223,338.223,71.833,1.341,0.75,2025-12-09 11:49:07
337.9,338.261,338.261,73.118,1.285,0.78,2025-12-09 11:49:08
337.7,338.224,338.224,74.402,1.284,0.78,2025-12-09 11:49:10
338.7,338.192,338.192,79.926,5.524,0.78,2025-12-09 11:49:15
339.1,338.243,338.243,80.543,0.617,1.62,2025-12-09 11:49:16
338.7,338.289,338.289,81.828,1.285,0.78,2025-12-09 11:49:17
339.5,338.33,338.33,82.463,0.635,1.57,2025-12-09 11:49:18
340.2,338.407,338.407,82.862,0.399,2.51,2025-12-09 11:49:18
338.9,338.476,338.476,83.523,0.661,1.51,2025-12-09 11:49:19
339.2,338.548,338.548,83.921,0.398,2.51,2025-12-09 11:49:19
338.2,338.614,338.614,84.769,0.848,1.18,2025-12-09 11:49:20
339.1,338.662,338.662,85.161,0.392,2.55,2025-12-09 11:49:20
339.6,338.706,338.706,85.56,0.399,2.51,2025-12-09 11:49:21
339.0,338.745,338.745,85.956,0.396,2.53,2025-12-09 11:49:21
338.7,338.771,338.771,86.349,0.393,2.54,2025-12-09 11:49:22
339.5,338.804,338.804,86.745,0.396,2.53,2025-12-09 11:49:22
339.1,338.833,338.833,87.15,0.405,2.47,2025-12-09 11:49:23
339.3,338.86,338.86,87.546,0.396,2.53,2025-12-09 11:49:23
339.6,338.904,338.904,87.942,0.396,2.53,2025-12-09 11:49:23
340.6,338.964,338.964,89.283,1.341,0.75,2025-12-09 11:49:25
335.2,338.997,338.997,90.128,0.845,1.18,2025-12-09 11:49:25
336.2,339.028,339.028,91.468,1.34,0.75,2025-12-09 11:49:27
335.2,338.745,338.745,91.81,0.342,2.92,2025-12-09 11:49:27
334.9,338.39,338.39,92.212,0.402,2.49,2025-12-09 11:49:28
335.9,338.071,338.071,93.553,1.341,0.75,2025-12-09 11:49:29
337.8,337.854,337.854,94.838,1.285,0.78,2025-12-09 11:49:30
335.8,337.649,337.649,95.685,0.847,1.18,2025-12-09 11:49:31
340.9,337.474,337.474,96.077,0.392,2.55,2025-12-09 11:49:31
341.9,337.506,337.506,97.418,1.341,0.75,2025-12-09 11:49:33
336.6,337.536,337.536,99.325,1.907,0.52,2025-12-09 11:49:35
336.7,337.452,337.452,100.666,1.341,0.75,2025-12-09 11:49:36
336.3,337.377,337.377,101.032,0.366,2.73,2025-12-09 11:49:36
335.8,337.299,337.299,102.373,1.341,0.75,2025-12-09 11:49:38
337.4,337.229,337.229,102.72,0.347,2.88,2025-12-09 11:49:38
336.9,337.176,337.176,104.061,1.341,0.75,2025-12-09 11:49:39
336.7,337.129,337.129,105.346,1.285,0.78,2025-12-09 11:49:41
335.9,337.086,337.086,106.196,0.85,1.18,2025-12-09 11:49:41
336.1,337.047,337.047,106.591,0.395,2.53,2025-12-09 11:49:42
335.3,336.953,336.953,106.987,0.396,2.53,2025-12-09 11:49:42
336.3,336.867,336.867,108.327,1.34,0.75,2025-12-09 11:49:44
309.5,336.771,336.867,109.838,1.511,0.66,2025-12-09 11:49:45
324.9,336.624,336.867,111.349,1.511,0.66,2025-12-09 11:49:47
336.7,336.491,336.791,111.972,0.623,1.61,2025-12-09 11:49:47
337.5,336.472,336.742,112.367,0.395,2.53,2025-12-09 11:49:48
336.8,336.495,336.737,113.708,1.341,0.75,2025-12-09 11:49:49
336.4,336.515,336.734,114.553,0.845,1.18,2025-12-09 11:49:50
336.5,336.534,336.73,115.406,0.853,1.17,2025-12-09 11:49:51
308.7,336.53,336.73,116.746,1.34,0.75,2025-12-09 11:49:52
321.9,336.517,336.73,117.092,0.346,2.89,2025-12-09 11:49:52
323.1,335.176,336.73,117.485,0.393,2.54,2025-12-09 11:49:53
337.3,333.968,336.737,117.883,0.398,2.51,2025-12-09 11:49:53
337.3,332.881,336.744,118.527,0.644,1.55,2025-12-09 11:49:54
323.9,331.983,336.744,119.868,1.341,0.75,2025-12-09 11:49:55
323.9,331.175,336.744,120.445,0.577,1.73,2025-12-09 11:49:56
308.9,330.447,336.744,123.579,3.134,1.73,2025-12-09 11:49:59
338.3,329.793,336.799,124.209,0.63,1.59,2025-12-09 11:50:00
336.8,329.203,336.849,125.551,1.342,0.75,2025-12-09 11:50:01
337.3,329.963,336.894,126.721,1.17,0.85,2025-12-09 11:50:02
336.7,330.647,336.935,127.346,0.625,1.6,2025-12-09 11:50:03
336.9,331.272,336.931,128.687,1.341,0.75,2025-12-09 11:50:04
335.6,331.825,336.918,129.052,0.365,2.74,2025-12-09 11:50:04
335.4,332.312,336.896,129.449,0.397,2.52,2025-12-09 11:50:05
336.0,332.681,336.807,129.846,0.397,2.52,2025-12-09 11:50:05
337.3,333.013,336.726,130.241,0.395,2.53,2025-12-09 11:50:06
335.8,333.292,336.633,131.582,1.341,0.75,2025-12-09 11:50:07
337.0,333.562,336.57,132.867,1.285,0.78,2025-12-09 11:50:08
337.7,333.906,336.613,133.718,0.851,1.18,2025-12-09 11:50:09
336.9,334.216,336.652,134.114,0.396,2.53,2025-12-09 11:50:09
336.7,334.484,336.677,134.759,0.645,1.55,2025-12-09 11:50:10
340.5,334.736,336.709,135.166,0.407,2.46,2025-12-09 11:50:10
340.8,335.032,336.808,135.828,0.662,1.51,2025-12-09 11:50:11
341.4,335.579,337.177,136.227,0.399,2.51,2025-12-09 11:50:12
342.3,336.101,337.539,136.628,0.401,2.49,2025-12-09 11:50:12
342.7,336.631,337.926,137.028,0.4,2.5,2025-12-09 11:50:12
342.9,337.198,338.363,137.43,0.402,2.49,2025-12-09 11:50:13
342.9,337.748,338.797,137.826,0.396,2.53,2025-12-09 11:50:13
342.6,338.243,339.187,138.221,0.395,2.53,2025-12-09 11:50:14
342.6,338.689,339.538,139.075,0.854,1.17,2025-12-09 11:50:14
342.8,339.1,339.864,140.473,1.398,0.72,2025-12-09 11:50:16
343.0,339.47,340.158,140.813,0.34,2.94,2025-12-09 11:50:16
342.8,339.803,340.422,141.459,0.646,1.55,2025-12-09 11:50:17
343.8,340.103,340.66,142.8,1.341,0.75,2025-12-09 11:50:18
342.6,340.372,340.874,143.427,0.627,1.59,2025-12-09 11:50:19
343.1,340.635,341.087,144.275,0.848,1.18,2025-12-09 11:50:20
343.3,340.882,341.288,144.673,0.398,2.51,2025-12-09 11:50:20
343.6,341.123,341.489,145.067,0.394,2.54,2025-12-09 11:50:20
342.8,341.321,341.65,146.408,1.341,0.75,2025-12-09 11:50:22
370.7,341.519,341.65,147.693,1.285,0.78,2025-12-09 11:50:23
374.6,341.727,341.65,149.033,1.34,0.75,2025-12-09 11:50:24
132.6,341.914,341.65,149.392,0.359,2.78,2025-12-09 11:50:25
372.9,344.793,341.65,150.243,0.851,1.18,2025-12-09 11:50:26
373.1,347.604,373.1,150.643,0.4,2.5,2025-12-09 11:50:26
